Sector,Local.authority,year,leave_join,Homes_or_places,value
For-profit,BIRMINGHAM,2016,Entries,Places,60.0
For-profit,BIRMINGHAM,2016,Entries,Children's homes,14.0
Local Authority,BIRMINGHAM,2017,Net change,Children's homes,-2.0
For-profit,BIRMINGHAM,2022,Exits,Places,6.0
For-profit,BIRMINGHAM,2023,Net change,Places,7.0
Local Authority,BIRMINGHAM,2019,Net change,Children's homes,1.0
Local Authority,BIRMINGHAM,2018,Exits,Children's homes,8.0
Third Sector,BIRMINGHAM,2017,Entries,Places,6.0
Third Sector,BIRMINGHAM,2017,Exits,Places,12.0
For-profit,BIRMINGHAM,2017,Net change,Children's homes,2.0
For-profit,BIRMINGHAM,2019,Net change,Places,23.0
For-profit,BIRMINGHAM,2023,Entries,Places,7.0
For-profit,BIRMINGHAM,2016,Exits,Places,12.0
Local Authority,BIRMINGHAM,2019,Net change,Places,5.0
For-profit,BIRMINGHAM,2020,Entries,Children's homes,7.0
For-profit,BIRMINGHAM,2016,Exits,Children's homes,4.0
Third Sector,BIRMINGHAM,2020,Exits,Places,4.0
For-profit,BIRMINGHAM,2019,Exits,Places,7.0
Third Sector,BIRMINGHAM,2020,Entries,Children's homes,1.0
Third Sector,BIRMINGHAM,2020,Net change,Children's homes,0.0
For-profit,BIRMINGHAM,2019,Exits,Children's homes,2.0
For-profit,BIRMINGHAM,2015,Exits,Children's homes,5.0
For-profit,BIRMINGHAM,2022,Entries,Places,14.0
Third Sector,BIRMINGHAM,2017,Entries,Children's homes,1.0
Local Authority,BIRMINGHAM,2019,Entries,Places,5.0
Local Authority,BIRMINGHAM,2019,Entries,Children's homes,1.0
Third Sector,BIRMINGHAM,2017,Exits,Children's homes,2.0
Local Authority,BIRMINGHAM,2017,Exits,Children's homes,2.0
For-profit,BIRMINGHAM,2023,Entries,Children's homes,3.0
Third Sector,BIRMINGHAM,2018,Entries,Children's homes,4.0
For-profit,BIRMINGHAM,2020,Net change,Places,-14.0
Local Authority,BIRMINGHAM,2017,Net change,Places,-5.0
For-profit,BIRMINGHAM,2020,Exits,Children's homes,6.0
For-profit,BIRMINGHAM,2017,Entries,Children's homes,4.0
For-profit,BIRMINGHAM,2017,Net change,Places,8.0
Third Sector,BIRMINGHAM,2017,Net change,Children's homes,-1.0
Local Authority,BIRMINGHAM,2016,Exits,Children's homes,10.0
For-profit,BIRMINGHAM,2017,Entries,Places,11.0
For-profit,BIRMINGHAM,2017,Exits,Children's homes,2.0
Third Sector,BIRMINGHAM,2017,Net change,Places,-6.0
For-profit,BIRMINGHAM,2021,Net change,Places,13.0
For-profit,BIRMINGHAM,2020,Net change,Children's homes,1.0
Local Authority,BIRMINGHAM,2016,Exits,Places,30.0
For-profit,BIRMINGHAM,2021,Net change,Children's homes,6.0
For-profit,BIRMINGHAM,2018,Entries,Children's homes,3.0
Local Authority,BIRMINGHAM,2018,Net change,Children's homes,-8.0
Third Sector,BIRMINGHAM,2020,Entries,Places,3.0
For-profit,BIRMINGHAM,2022,Net change,Children's homes,2.0
Third Sector,BIRMINGHAM,2022,Net change,Places,3.0
Local Authority,BIRMINGHAM,2018,Net change,Places,-42.0
For-profit,BIRMINGHAM,2018,Net change,Places,-19.0
Third Sector,BIRMINGHAM,2018,Net change,Children's homes,4.0
For-profit,BIRMINGHAM,2022,Net change,Places,8.0
For-profit,BIRMINGHAM,2023,Net change,Children's homes,3.0
Local Authority,BIRMINGHAM,2018,Exits,Places,42.0
For-profit,BIRMINGHAM,2018,Net change,Children's homes,-8.0
For-profit,BIRMINGHAM,2020,Exits,Places,33.0
For-profit,BIRMINGHAM,2020,Entries,Places,19.0
For-profit,BIRMINGHAM,2015,Exits,Places,4.0
Third Sector,BIRMINGHAM,2022,Net change,Children's homes,1.0
For-profit,BIRMINGHAM,2018,Exits,Children's homes,11.0
For-profit,BIRMINGHAM,2022,Entries,Children's homes,5.0
Third Sector,BIRMINGHAM,2022,Entries,Places,3.0
For-profit,BIRMINGHAM,2014,Exits,Children's homes,2.0
Third Sector,BIRMINGHAM,2018,Net change,Places,42.0
For-profit,BIRMINGHAM,2019,Entries,Children's homes,9.0
For-profit,BIRMINGHAM,2021,Exits,Children's homes,1.0
Third Sector,BIRMINGHAM,2018,Entries,Places,42.0
Local Authority,BIRMINGHAM,2017,Exits,Places,5.0
For-profit,BIRMINGHAM,2018,Exits,Places,31.0
For-profit,BIRMINGHAM,2018,Entries,Places,12.0
For-profit,BIRMINGHAM,2021,Entries,Places,16.0
For-profit,BIRMINGHAM,2019,Entries,Places,30.0
For-profit,BIRMINGHAM,2014,Exits,Places,0.0
For-profit,BIRMINGHAM,2021,Exits,Places,3.0
Local Authority,BLACKBURN WITH DARWEN,2022,Exits,Children's homes,3.0
Local Authority,BLACKBURN WITH DARWEN,2022,Exits,Places,9.0
For-profit,BLACKBURN WITH DARWEN,2017,Exits,Children's homes,1.0
For-profit,BLACKBURN WITH DARWEN,2017,Net change,Places,-1.0
For-profit,BLACKBURN WITH DARWEN,2015,Exits,Children's homes,1.0
For-profit,BLACKBURN WITH DARWEN,2015,Exits,Places,0.0
Local Authority,BLACKBURN WITH DARWEN,2020,Exits,Children's homes,2.0
For-profit,BLACKBURN WITH DARWEN,2017,Net change,Children's homes,-1.0
Local Authority,BLACKBURN WITH DARWEN,2020,Net change,Children's homes,-2.0
Local Authority,BLACKBURN WITH DARWEN,2020,Exits,Places,5.0
Local Authority,BLACKBURN WITH DARWEN,2022,Net change,Places,-9.0
Local Authority,BLACKBURN WITH DARWEN,2022,Net change,Children's homes,-3.0
For-profit,BLACKBURN WITH DARWEN,2017,Exits,Places,1.0
Local Authority,BLACKBURN WITH DARWEN,2020,Net change,Places,-5.0
For-profit,BLACKPOOL,2014,Exits,Places,0.0
For-profit,BLACKPOOL,2022,Net change,Children's homes,3.0
For-profit,BLACKPOOL,2022,Entries,Places,7.0
For-profit,BLACKPOOL,2022,Net change,Places,7.0
For-profit,BLACKPOOL,2021,Exits,Children's homes,2.0
For-profit,BLACKPOOL,2018,Exits,Children's homes,1.0
For-profit,BLACKPOOL,2020,Exits,Places,1.0
For-profit,BLACKPOOL,2017,Net change,Places,4.0
For-profit,BLACKPOOL,2016,Exits,Children's homes,10.0
For-profit,BLACKPOOL,2016,Exits,Places,12.0
For-profit,BLACKPOOL,2018,Exits,Places,1.0
For-profit,BLACKPOOL,2019,Entries,Places,15.0
For-profit,BLACKPOOL,2018,Entries,Places,9.0
For-profit,BLACKPOOL,2016,Entries,Places,15.0
For-profit,BLACKPOOL,2018,Entries,Children's homes,3.0
Local Authority,BLACKPOOL,2020,Exits,Children's homes,5.0
For-profit,BLACKPOOL,2017,Net change,Children's homes,1.0
For-profit,BLACKPOOL,2021,Net change,Places,0.0
For-profit,BLACKPOOL,2018,Net change,Places,8.0
For-profit,BLACKPOOL,2018,Net change,Children's homes,2.0
For-profit,BLACKPOOL,2021,Entries,Children's homes,5.0
For-profit,BLACKPOOL,2015,Exits,Children's homes,1.0
For-profit,BLACKPOOL,2017,Entries,Children's homes,1.0
For-profit,BLACKPOOL,2020,Exits,Children's homes,1.0
For-profit,BLACKPOOL,2020,Entries,Places,19.0
For-profit,BLACKPOOL,2015,Exits,Places,0.0
For-profit,BLACKPOOL,2021,Net change,Children's homes,3.0
For-profit,BLACKPOOL,2014,Exits,Children's homes,3.0
For-profit,BLACKPOOL,2019,Net change,Places,15.0
For-profit,BLACKPOOL,2020,Entries,Children's homes,7.0
For-profit,BLACKPOOL,2019,Entries,Children's homes,9.0
Local Authority,BLACKPOOL,2020,Exits,Places,16.0
For-profit,BLACKPOOL,2016,Entries,Children's homes,6.0
For-profit,BLACKPOOL,2021,Entries,Places,7.0
For-profit,BLACKPOOL,2017,Entries,Places,4.0
For-profit,BLACKPOOL,2019,Net change,Children's homes,9.0
For-profit,BLACKPOOL,2022,Entries,Children's homes,3.0
For-profit,BLACKPOOL,2020,Net change,Children's homes,6.0
For-profit,BLACKPOOL,2020,Net change,Places,18.0
Local Authority,BLACKPOOL,2020,Net change,Places,-16.0
For-profit,BLACKPOOL,2021,Exits,Places,7.0
Local Authority,BLACKPOOL,2020,Net change,Children's homes,-5.0
For-profit,BOLTON,2020,Entries,Places,3.0
For-profit,BOLTON,2021,Net change,Children's homes,4.0
Third Sector,BOLTON,2015,Exits,Children's homes,2.0
Third Sector,BOLTON,2022,Exits,Children's homes,2.0
For-profit,BOLTON,2018,Net change,Places,9.0
Local Authority,BOLTON,2021,Net change,Children's homes,-2.0
Third Sector,BOLTON,2016,Entries,Places,3.0
For-profit,BOLTON,2023,Entries,Places,2.0
For-profit,BOLTON,2023,Net change,Children's homes,1.0
Third Sector,BOLTON,2021,Entries,Places,1.0
Third Sector,BOLTON,2021,Net change,Children's homes,1.0
For-profit,BOLTON,2021,Net change,Places,8.0
For-profit,BOLTON,2018,Net change,Children's homes,2.0
For-profit,BOLTON,2021,Entries,Children's homes,4.0
Third Sector,BOLTON,2023,Exits,Places,3.0
For-profit,BOLTON,2020,Exits,Children's homes,1.0
For-profit,BOLTON,2020,Net change,Places,2.0
For-profit,BOLTON,2020,Net change,Children's homes,0.0
For-profit,BOLTON,2023,Entries,Children's homes,1.0
Third Sector,BOLTON,2021,Net change,Places,1.0
For-profit,BOLTON,2020,Exits,Places,1.0
For-profit,BOLTON,2022,Exits,Children's homes,1.0
For-profit,BOLTON,2022,Exits,Places,2.0
Local Authority,BOLTON,2021,Exits,Places,4.0
For-profit,BOLTON,2019,Net change,Children's homes,3.0
For-profit,BOLTON,2019,Net change,Places,5.0
Local Authority,BOLTON,2021,Exits,Children's homes,2.0
Third Sector,BOLTON,2016,Entries,Children's homes,1.0
Third Sector,BOLTON,2021,Entries,Children's homes,1.0
For-profit,BOLTON,2022,Entries,Places,2.0
For-profit,BOLTON,2021,Entries,Places,8.0
For-profit,BOLTON,2022,Entries,Children's homes,1.0
Third Sector,BOLTON,2023,Exits,Children's homes,1.0
Third Sector,BOLTON,2015,Exits,Places,4.0
Third Sector,BOLTON,2016,Exits,Places,4.0
For-profit,BOLTON,2019,Entries,Children's homes,3.0
For-profit,BOLTON,2018,Entries,Children's homes,2.0
Third Sector,BOLTON,2023,Net change,Children's homes,-1.0
For-profit,BOLTON,2023,Net change,Places,2.0
Third Sector,BOLTON,2023,Net change,Places,-3.0
Third Sector,BOLTON,2022,Net change,Places,-7.0
For-profit,BOLTON,2022,Net change,Places,0.0
Third Sector,BOLTON,2022,Net change,Children's homes,-2.0
For-profit,BOLTON,2022,Net change,Children's homes,0.0
Third Sector,BOLTON,2022,Exits,Places,7.0
For-profit,BOLTON,2018,Entries,Places,9.0
For-profit,BOLTON,2019,Entries,Places,5.0
Third Sector,BOLTON,2016,Exits,Children's homes,2.0
For-profit,BOLTON,2020,Entries,Children's homes,1.0
Local Authority,BOLTON,2021,Net change,Places,-4.0
Local Authority,BOURNEMOUTH,2017,Exits,Places,6.0
For-profit,BOURNEMOUTH,2022,Exits,Places,2.0
For-profit,BOURNEMOUTH,2016,Entries,Children's homes,1.0
For-profit,BOURNEMOUTH,2015,Exits,Children's homes,1.0
For-profit,BOURNEMOUTH,2015,Exits,Places,0.0
Local Authority,BOURNEMOUTH,2017,Net change,Places,-6.0
Local Authority,BOURNEMOUTH,2017,Net change,Children's homes,-2.0
For-profit,BOURNEMOUTH,2016,Entries,Places,4.0
For-profit,BOURNEMOUTH,2022,Exits,Children's homes,2.0
For-profit,BOURNEMOUTH,2016,Exits,Children's homes,2.0
Local Authority,BOURNEMOUTH,2017,Exits,Children's homes,2.0
For-profit,BOURNEMOUTH,2016,Exits,Places,5.0
For-profit,BOURNEMOUTH,2022,Net change,Children's homes,-2.0
For-profit,BOURNEMOUTH,2022,Net change,Places,-2.0
Third Sector,BOURNEMOUTH CHRISTCHURCH AND POOLE,2019,Net change,Children's homes,-1.0
Third Sector,BOURNEMOUTH CHRISTCHURCH AND POOLE,2019,Net change,Places,-16.0
For-profit,BOURNEMOUTH CHRISTCHURCH AND POOLE,2022,Entries,Children's homes,2.0
For-profit,BOURNEMOUTH CHRISTCHURCH AND POOLE,2021,Net change,Children's homes,4.0
For-profit,BOURNEMOUTH CHRISTCHURCH AND POOLE,2020,Net change,Places,3.0
For-profit,BOURNEMOUTH CHRISTCHURCH AND POOLE,2022,Exits,Places,4.0
For-profit,BOURNEMOUTH CHRISTCHURCH AND POOLE,2022,Exits,Children's homes,2.0
For-profit,BOURNEMOUTH CHRISTCHURCH AND POOLE,2020,Entries,Places,3.0
